time_s,temperature_K,alpha_sei,alpha_anode_electrolyte,alpha_cathode,alpha_electrolyte,qdot_sei_W_per_kg,qdot_anode_electrolyte_W_per_kg,qdot_cathode_W_per_kg,qdot_electrolyte_W_per_kg,qdot_total_W_per_kg
0.0,480.0,0.85,0.25,0.04,0.0,31348.9670917638,0.0,0.7917332853871246,1.9776571889349768,31351.73648223812
0.00016139301608748165,480.0050334554598,0.8500806182535809,0.25,0.040000003395547816,1.2659607283244052e-08,31343.240944358517,0.0,0.7919735216079861,1.9790814686653315,31346.01199934879
0.0003227860321749633,480.01006600786616,0.8501612221225571,0.25,0.04000000679210032,2.5328108208676488e-08,31337.50756079012,0.0,0.7922137827110702,1.9805064884173813,31340.28028106125
0.0019367161930497797,480.0603115030019,0.8509659860371882,0.25,0.04000004084609358,1.5279805497737925e-07,31279.810202682802,0.0,0.79461630537296,1.9947887565223197,31282.599607744694
0.0035506463539245964,480.1104649033288,0.8517692829692145,0.25,0.040000075000883775,2.811655666722449e-07,31221.391860156073,0.0,0.7970212014659234,2.0091445429535564,31224.198025900492
0.008460776246255988,480.2625098681001,0.854204603745872,0.25,0.040000179487233244,6.768763338039741e-07,31039.194055215452,0.0,0.8043534380810816,2.053281155606281,31042.05168980914
0.01337090613858738,480.4136709801425,0.8566258451475472,0.25,0.04000028489994713,1.0809701004527305e-06,30850.35074234528,0.0,0.8117053905875203,2.0980936755977093,30853.260541411466
0.01828103603091877,480.56389671013756,0.8590321860168786,0.25,0.040000391263459514,1.4937698031158163e-06,30654.929662063707,0.0,0.8190739185239927,2.1435689500527926,30657.892304932284
0.03181870147254633,480.9729729165495,0.8655852855265377,0.25,0.040000689464567425,2.6780844416340868e-06,30082.547949233667,0.0,0.839456542997778,2.2723060307194487,30085.659711807384
0.0453563669141739,481.3739599265494,0.8720095157905075,0.25,0.040000995025833055,3.932919738175145e-06,29462.215492618387,0.0,0.8598945370385139,2.405766597653152,29465.48115375308
0.058894032355801464,481.7662190378958,0.8782946955243668,0.25,0.040001307956042016,5.260734683383373e-06,28795.95464923463,0.0,0.8803360569063995,2.5436695109168634,28799.378654802455
0.07243169779742903,482.14915794378925,0.8844313826865373,0.25,0.040001628229483874,6.663680952056147e-06,28086.25608923081,0.0,0.9007284457705348,2.685682470698263,28089.84250014728
0.09700766029782992,482.8187436056017,0.8951640141856076,0.25,0.04000222828610895,9.408996204156341e-06,26696.78585834079,0.0,0.9374481443579639,2.952702702949583,26700.6760091881
0.10358241810522971,482.991945183326,0.8979407871063609,0.25,0.040002392868912356,1.0188040824785526e-05,26305.179177897295,0.0,0.9471712417009387,3.025863044267606,26309.15221218326
0.10606462151577817,483.05666158795844,0.8989783886495741,0.25,0.04000245544549184,1.0487128552304852e-05,26155.34553589827,0.0,0.9508283444872054,3.053648289771071,26159.350012532526
0.10726276936841597,483.0877666789452,0.899477111441755,0.25,0.040002485737045346,1.0632475219304953e-05,26082.643643802054,0.0,0.9525907675345282,3.067090867165213,26086.66332543675
0.10846091722105378,483.11878454095313,0.8999744443403935,0.25,0.04000251608462918,1.0778460600014104e-05,26009.69985310456,0.0,0.954351283386626,3.0805529359005845,26013.73475732385
0.10879922394958479,483.1292374138108,0.9001146264102474,0.2500040862019441,0.04000252466408386,1.0819801505524976e-05,25992.15248747835,10029.59903558809,0.9549452141562959,3.085102521214521,36025.79157080182
0.1091375306781158,483.14108322537487,0.9002547190763303,0.2500115142981922,0.040002533249173765,1.0861206844751608e-05,25977.10658976709,10047.151481470102,0.9556186819366249,3.090266280139523,36028.30395619927
0.1094758374066468,483.1533910889884,0.9003947324472457,0.25002005838059965,0.0400025418404257,1.0902682726845278e-05,25962.872686222592,10065.037598439618,0.9563188801020428,3.0956403454545933,36031.96224388777
